Measurement Title,Measurement Description,Measurement Type,Measurement Medium,Measurement Time,Measurement Value,Units,Units Abbreviation,Measurement Period Type,Data Stream ID,Resource ID,Measurement ID,Record ID,Latitude,Longitude,Location
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/30/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771679999999999,332652518771679999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/30/2018 01:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771895999999999,332652518771895999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/30/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772111999999999,332642518772111999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/30/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772111999999999,332652518772111999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/30/2018 01:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772327999999999,332652518772327999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/29/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772543999999999,332642518772543999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/29/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772543999999999,332652518772543999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/29/2018 01:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772759999999999,332652518772759999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/29/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772975999999999,332642518772975999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/29/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772975999999999,332652518772975999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/29/2018 01:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773191999999999,332652518773191999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/28/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518773407999999999,332642518773407999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/28/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773407999999999,332652518773407999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/28/2018 01:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773623999999999,332652518773623999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Probability of Precipitation,,TimeWindowBoundary,NA,04/28/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33264,65150,2518773839999999999,332642518773839999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/28/2018 07:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773839999999999,332652518773839999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/28/2018 01:00:00 AM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774055999999999,332652518774055999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
